No,Species,Scenario,sd,TL
19,V1,S1-F0,-0.000786647,3.226408
20,V2,S1-F0,0.004742013,2.62097
21,V3,S1-F0,-0.01543573,3.790706
22,V4,S1-F0,-0.001613406,3.477167
23,V5,S1-F0,-0.00259682,3.211273
24,V6,S1-F0,0.000254451,2.661831
25,V7,S1-F0,-0.0003285,2.592419
26,V8,S1-F0,-0.0004651,2.119918
27,V9,S1-F0,0.00029644,2.186132
28,V10,S1-F0,-0.001045475,2.253495
29,V11,S1-F0,0.000310072,2.436372
30,V12,S1-F0,-0.000925819,2.359781
31,V13,S1-F0,-0.000194587,2.121719
32,V14,S1-F0,-0.000138716,2.058089
33,V15,S1-F0,0.000721491,2.011703
34,V16,S1-F0,0.004205571,1
35,V17,S1-F0,0.005451585,1
36,V18,S1-F0,0.00612913,1
37,V1,S1-F0.2,-0.000785526,3.22352
38,V2,S1-F0.2,0.004878852,2.618506
39,V3,S1-F0.2,-0.015643117,3.780914
40,V4,S1-F0.2,-0.00160569,3.474995
41,V5,S1-F0.2,-0.002618219,3.208923
42,V6,S1-F0.2,0.000272283,2.65974
43,V7,S1-F0.2,-0.000305338,2.591534
44,V8,S1-F0.2,-0.000467657,2.120168
45,V9,S1-F0.2,0.000297384,2.185611
46,V10,S1-F0.2,-0.001035502,2.252218
47,V11,S1-F0.2,0.000314131,2.435148
48,V12,S1-F0.2,-0.000923057,2.360018
49,V13,S1-F0.2,-0.000199097,2.121142
50,V14,S1-F0.2,-0.000140009,2.05832
51,V15,S1-F0.2,0.000724636,2.011754
52,V16,S1-F0.2,0.004211441,1
53,V17,S1-F0.2,0.005460964,1
54,V18,S1-F0.2,0.006138988,1
55,V1,S1-F0.4,-0.000784228,3.220667
56,V2,S1-F0.4,0.00502068,2.616021
57,V3,S1-F0.4,-0.015855622,3.771209
58,V4,S1-F0.4,-0.001597994,3.472861
59,V5,S1-F0.4,-0.00264003,3.2066
60,V6,S1-F0.4,0.000290131,2.657663
61,V7,S1-F0.4,-0.000281757,2.590658
62,V8,S1-F0.4,-0.000470315,2.120423
63,V9,S1-F0.4,0.000298246,2.185092
64,V10,S1-F0.4,-0.001025457,2.25094
65,V11,S1-F0.4,0.000318302,2.433935
66,V12,S1-F0.4,-0.000920337,2.360258
67,V13,S1-F0.4,-0.000203979,2.120569
68,V14,S1-F0.4,-0.000141379,2.058553
69,V15,S1-F0.4,0.00072805,2.011806
70,V16,S1-F0.4,0.004217313,1
71,V17,S1-F0.4,0.005470445,1
72,V18,S1-F0.4,0.006148995,1
73,V1,S1-F0.6,-0.00078294,3.21785
74,V2,S1-F0.6,0.005167898,2.613513
75,V3,S1-F0.6,-0.016073283,3.761588
76,V4,S1-F0.6,-0.001590266,3.470767
77,V5,S1-F0.6,-0.002662212,3.204308
78,V6,S1-F0.6,0.000308053,2.655597
79,V7,S1-F0.6,-0.000257711,2.589791
80,V8,S1-F0.6,-0.000473039,2.120681
81,V9,S1-F0.6,0.000299064,2.184577
82,V10,S1-F0.6,-0.00101532,2.249662
83,V11,S1-F0.6,0.000322008,2.432732
84,V12,S1-F0.6,-0.00091759,2.360501
85,V13,S1-F0.6,-0.000208568,2.119999
86,V14,S1-F0.6,-0.00014278,2.05879
87,V15,S1-F0.6,0.0007312,2.01186
88,V16,S1-F0.6,0.004223328,1
89,V17,S1-F0.6,0.005479846,1
90,V18,S1-F0.6,0.00615876,1
91,V1,S1-F0.8,-0.000781664,3.215071
92,V2,S1-F0.8,0.005320648,2.610982
93,V3,S1-F0.8,-0.01629661,3.752054
94,V4,S1-F0.8,-0.001582731,3.468716
95,V5,S1-F0.8,-0.002684894,3.202045
96,V6,S1-F0.8,0.000325832,2.653547
97,V7,S1-F0.8,-0.000233331,2.588935
98,V8,S1-F0.8,-0.000475964,2.120944
99,V9,S1-F0.8,0.000299709,2.184066
100,V10,S1-F0.8,-0.00100516,2.248384
101,V11,S1-F0.8,0.000327411,2.431538
102,V12,S1-F0.8,-0.000915061,2.360748
103,V13,S1-F0.8,-0.000214865,2.119433
104,V14,S1-F0.8,-0.000144363,2.05903
105,V15,S1-F0.8,0.000734976,2.011913
106,V16,S1-F0.8,0.00422892,1
107,V17,S1-F0.8,0.005489928,1
108,V18,S1-F0.8,0.006169782,1
109,V1,S2-F0,-0.001143164,3.216285
110,V2,S2-F0,0.005755404,2.676161
111,V3,S2-F0,-0.020404519,3.786576
112,V4,S2-F0,-0.002057002,3.457686
113,V5,S2-F0,-0.003305871,3.216082
114,V6,S2-F0,0.000712948,2.669108
115,V7,S2-F0,0.000310068,2.604795
116,V8,S2-F0,-0.000207001,2.125152
117,V9,S2-F0,0.000819304,2.201644
118,V10,S2-F0,-0.001319685,2.251911
119,V11,S2-F0,0.000427901,2.472076
120,V12,S2-F0,-0.000935953,2.368382
121,V13,S2-F0,-0.000219982,2.134312
122,V14,S2-F0,-0.000392653,2.062365
123,V15,S2-F0,0.00087101,2.012687
124,V16,S2-F0,0.005165389,1
125,V17,S2-F0,0.006685706,1
126,V18,S2-F0,0.007554142,1
127,V1,S2-F0.2,-0.001142666,3.213394
128,V2,S2-F0.2,0.005942754,2.67379
129,V3,S2-F0.2,-0.02069327,3.775931
