Scenario,groups,iF1,iF2,iF3,iF4,iF5,iF6,iF7,iF8,iF9,iF10,iF11,iF12,iF13,iF14,iF15,iF16,iF17,iF18,iF19
S1_F0,jF1,0,2.08E-05,4.37E-05,-0.00020138,-0.000145804,-5.99E-05,-7.36E-05,-9.50E-05,7.96E-06,1.34E-05,1.10E-05,2.04E-05,3.26E-07,2.54E-05,-0.000161515,-7.23E-05,-6.19E-05,-6.22E-05,4.08E-06
S1_F0,jF2,-2.08E-05,0,0.007163872,-1.71E-05,2.91E-06,-1.50E-05,-2.14E-06,-6.58E-06,-1.62E-05,-1.26E-05,-0.000439513,-1.54E-05,-0.000279049,-1.16E-06,-0.000194498,-0.000220917,-0.000458179,-0.000559071,-0.000166485
S1_F0,jF3,-4.37E-05,-0.007163872,0,-0.00193534,-0.001486212,-0.001018235,-0.000832444,-0.000253099,-0.000393361,-0.000271511,-0.000538955,-0.000130393,-0.000189338,-6.25E-05,-8.86E-05,-0.000230119,-0.000302112,-0.000321583,-0.000174386
S1_F0,jF4,0.00020138,1.71E-05,0.00193534,0,8.33E-05,-0.000647918,-0.000528737,-0.000350339,-0.00027412,-0.000282325,-0.000420084,-9.03E-05,-0.000180808,-2.08E-05,-6.58E-05,-0.000232903,-0.000293883,-0.000313355,-0.000149123
S1_F0,jF5,0.000145804,-2.91E-06,0.001486212,-8.33E-05,0,-0.000527014,-0.000503417,-0.000613925,-0.000332845,-0.0002853,-0.000264304,-5.42E-05,-0.000235408,-0.000117545,-0.000116977,-0.000262716,-0.000327696,-0.000306615,-0.000194652
S1_F0,jF6,5.99E-05,1.50E-05,0.001018235,0.000647918,0.000527014,0,0.00017741,-3.93E-05,-0.000191041,-0.000109342,-0.000172045,-0.000232489,-0.000114013,-7.72E-05,-6.86E-05,-0.00023218,-0.000375751,-0.000432543,-0.000146566
S1_F0,jF7,7.36E-05,2.14E-06,0.000832444,0.000528737,0.000503417,-0.00017741,0,-6.84E-06,-1.78E-05,-6.10E-06,-0.000115755,-2.39E-05,-0.000104846,-0.000300294,-0.000207814,-0.000242879,-0.000398397,-0.000512894,-0.000153924
S1_F0,jF8,9.50E-05,6.58E-06,0.000253099,0.000350339,0.000613925,3.93E-05,6.84E-06,0,6.01E-08,8.55E-06,4.13E-06,-3.14E-06,2.48E-05,-9.93E-05,-0.000105077,-0.000205936,-0.00048093,-0.000854092,-0.000119301
S1_F0,jF9,-7.96E-06,1.62E-05,0.000393361,0.00027412,0.000332845,0.000191041,1.78E-05,-6.01E-08,0,0.000470623,7.92E-05,-4.12E-06,-1.70E-05,-7.05E-05,-9.14E-05,-0.000238146,-0.000447078,-0.000450083,-0.000152492
S1_F0,jF10,-1.34E-05,1.26E-05,0.000271511,0.000282325,0.0002853,0.000109342,6.10E-06,-8.55E-06,-0.000470623,0,3.32E-05,-1.93E-05,-1.12E-05,-6.02E-05,-8.19E-05,-0.0002643,-0.000408032,-0.000521132,-0.000187307
S1_F0,jF11,-1.10E-05,0.000439513,0.000538955,0.000420084,0.000264304,0.000172045,0.000115755,-4.13E-06,-7.92E-05,-3.32E-05,0,-1.18E-05,-0.000103659,-3.82E-05,-0.000159638,-0.000283859,-0.000348016,-0.000382357,-0.000185655
S1_F0,jF12,-2.04E-05,1.54E-05,0.000130393,9.03E-05,5.42E-05,0.000232489,2.39E-05,3.14E-06,4.12E-06,1.93E-05,1.18E-05,0,4.99E-05,-0.000238022,-0.000150573,-0.000293387,-0.000339698,-0.000318863,-0.000199728
S1_F0,jF13,-3.26E-07,0.000279049,0.000189338,0.000180808,0.000235408,0.000114013,0.000104846,-2.48E-05,1.70E-05,1.12E-05,0.000103659,-4.99E-05,0,-1.79E-05,-9.81E-05,-0.000329474,-0.000313351,-0.00027887,-0.000317103
S1_F0,jF14,-2.54E-05,1.16E-06,6.25E-05,2.08E-05,0.000117545,7.72E-05,0.000300294,9.93E-05,7.05E-05,6.02E-05,3.82E-05,0.000238022,1.79E-05,0,-8.93E-05,-0.000368293,-0.000269463,-0.000239992,-0.000249853
S1_F0,jF15,0.000161515,0.000194498,8.86E-05,6.58E-05,0.000116977,6.86E-05,0.000207814,0.000105077,9.14E-05,8.19E-05,0.000159638,0.000150573,9.81E-05,8.93E-05,0,-0.000379124,-0.000246292,-0.000237305,-9.55E-05
S1_F0,jF16,7.23E-05,0.000220917,0.000230119,0.000232903,0.000262716,0.00023218,0.000242879,0.000205936,0.000238146,0.0002643,0.000283859,0.000293387,0.000329474,0.000368293,0.000379124,0,0,0,0.00034904
S1_F0,jF17,6.19E-05,0.000458179,0.000302112,0.000293883,0.000327696,0.000375751,0.000398397,0.00048093,0.000447078,0.000408032,0.000348016,0.000339698,0.000313351,0.000269463,0.000246292,0,0,0,0.000380792
S1_F0,jF18,6.22E-05,0.000559071,0.000321583,0.000313355,0.000306615,0.000432543,0.000512894,0.000854092,0.000450083,0.000521132,0.000382357,0.000318863,0.00027887,0.000239992,0.000237305,0,0,0,0.000338163
S1_F0,jF19,-4.08E-06,0.000166485,0.000174386,0.000149123,0.000194652,0.000146566,0.000153924,0.000119301,0.000152492,0.000187307,0.000185655,0.000199728,0.000317103,0.000249853,9.55E-05,-0.00034904,-0.000380792,-0.000338163,0
S1_F0.2,jF1,0,2.08E-05,4.40E-05,-0.000201838,-0.000144864,-6.00E-05,-7.42E-05,-9.45E-05,8.14E-06,1.35E-05,1.11E-05,2.05E-05,6.39E-07,2.55E-05,-0.000161974,-7.24E-05,-6.19E-05,-6.22E-05,4.15E-06
S1_F0.2,jF2,-2.08E-05,0,0.007305791,-1.71E-05,2.96E-06,-1.50E-05,-2.14E-06,-6.52E-06,-1.62E-05,-1.26E-05,-0.000440737,-1.54E-05,-0.000279582,-1.09E-06,-0.000195136,-0.000221059,-0.000459353,-0.00056065,-0.00016651
S1_F0.2,jF3,-4.40E-05,-0.007305791,0,-0.001956561,-0.001489973,-0.001028981,-0.00084489,-0.000252716,-0.000395502,-0.00027458,-0.000542608,-0.000131773,-0.000189699,-6.31E-05,-8.92E-05,-0.000231028,-0.000303714,-0.000323616,-0.000175364
S1_F0.2,jF4,0.000201838,1.71E-05,0.001956561,0,8.78E-05,-0.000652943,-0.000534758,-0.000350303,-0.00027477,-0.000284846,-0.000421329,-9.08E-05,-0.000180539,-2.10E-05,-6.59E-05,-0.000233279,-0.00029469,-0.000314416,-0.000149359
S1_F0.2,jF5,0.000144864,-2.96E-06,0.001489973,-8.78E-05,0,-0.000531416,-0.000509244,-0.000614667,-0.000333818,-0.000287922,-0.00026515,-5.45E-05,-0.000235397,-0.000118235,-0.000117473,-0.000263266,-0.000328655,-0.000307546,-0.000195036
S1_F0.2,jF6,6.00E-05,1.50E-05,0.001028981,0.000652943,0.000531416,0,0.000177814,-3.91E-05,-0.000191032,-0.000110096,-0.000172109,-0.000233086,-0.000113489,-7.72E-05,-6.87E-05,-0.000232458,-0.000376468,-0.000433421,-0.000146716
S1_F0.2,jF7,7.42E-05,2.14E-06,0.00084489,0.000534758,0.000509244,-0.000177814,0,-6.76E-06,-1.78E-05,-6.10E-06,-0.000115706,-2.39E-05,-0.000104431,-0.000300166,-0.000208338,-0.000243113,-0.000398898,-0.000513514,-0.000154014
S1_F0.2,jF8,9.45E-05,6.52E-06,0.000252716,0.000350303,0.000614667,3.91E-05,6.76E-06,0,2.02E-08,8.53E-06,4.09E-06,-3.24E-06,2.49E-05,-9.92E-05,-0.000105327,-0.000206427,-0.000481355,-0.000854255,-0.000119848
S1_F0.2,jF9,-8.14E-06,1.62E-05,0.000395502,0.00027477,0.000333818,0.000191032,1.78E-05,-2.02E-08,0,0.000469369,7.92E-05,-4.16E-06,-1.67E-05,-7.04E-05,-9.15E-05,-0.000238518,-0.000447494,-0.000450395,-0.000152899
S1_F0.2,jF10,-1.35E-05,1.26E-05,0.00027458,0.000284846,0.000287922,0.000110096,6.10E-06,-8.53E-06,-0.000469369,0,3.41E-05,-1.93E-05,-1.09E-05,-6.01E-05,-8.20E-05,-0.000264678,-0.000408321,-0.000521326,-0.000187762
S1_F0.2,jF11,-1.11E-05,0.000440737,0.000542608,0.000421329,0.00026515,0.000172109,0.000115706,-4.09E-06,-7.92E-05,-3.41E-05,0,-1.19E-05,-0.000103128,-3.82E-05,-0.000160028,-0.00028428,-0.000348567,-0.000382945,-0.00018602
S1_F0.2,jF12,-2.05E-05,1.54E-05,0.000131773,9.08E-05,5.45E-05,0.000233086,2.39E-05,3.24E-06,4.16E-06,1.93E-05,1.19E-05,0,5.01E-05,-0.000237197,-0.000150609,-0.000293715,-0.00033996,-0.000319029,-0.000200096
S1_F0.2,jF13,-6.39E-07,0.000279582,0.000189699,0.000180539,0.000235397,0.000113489,0.000104431,-2.49E-05,1.67E-05,1.09E-05,0.000103128,-5.01E-05,0,-1.79E-05,-9.82E-05,-0.000330024,-0.000313957,-0.000279375,-0.000317858
S1_F0.2,jF14,-2.55E-05,1.09E-06,6.31E-05,2.10E-05,0.000118235,7.72E-05,0.000300166,9.92E-05,7.04E-05,6.01E-05,3.82E-05,0.000237197,1.79E-05,0,-8.94E-05,-0.000368522,-0.000269881,-0.000240335,-0.000250347
