groups,basic,S1_F0,S1_F0.2,S1_F0.4,S1_F0.6,S1_F0.8,S1_Fsq,S2_F0,S2_F0.2,S2_F0.4,S2_F0.6,S2_F0.8,S2_Fsq
F1,-0.000836911,-0.000786647,-0.000785526,-0.000784228,-0.00078294,-0.000781664,-0.000780167,-0.001143164,-0.001142666,-0.001142162,-0.001141685,-0.001141373,-0.001140851
F2,0.003803723,0.004742013,0.004878852,0.00502068,0.005167898,0.005320648,0.005479646,0.005755404,0.005942754,0.006135998,0.006335753,0.006542309,0.006755367
F3,-0.014021267,-0.01543573,-0.015643117,-0.015855622,-0.016073283,-0.01629661,-0.01652569,-0.020404519,-0.02069327,-0.02098806,-0.021290966,-0.021602264,-0.021920925
F4,-0.001558285,-0.001613406,-0.00160569,-0.001597994,-0.001590266,-0.001582731,-0.001574985,-0.002057002,-0.002047026,-0.002037403,-0.002028753,-0.002021075,-0.002013932
F5,-0.002625227,-0.00259682,-0.002618219,-0.00264003,-0.002662212,-0.002684894,-0.002707802,-0.003305871,-0.003327736,-0.003350062,-0.00337336,-0.003397664,-0.003422549
F6,0.000257095,0.000254451,0.000272283,0.000290131,0.000308053,0.000325832,0.000343855,0.000712948,0.000735114,0.000757058,0.000778688,0.000800128,0.000821309
F7,-0.000229759,-0.0003285,-0.000305338,-0.000281757,-0.000257711,-0.000233331,-0.000208355,0.000310068,0.000340185,0.000370669,0.000405475,0.000445556,0.000487043
F8,-0.000511193,-0.0004651,-0.000467657,-0.000470315,-0.000473039,-0.000475964,-0.000478837,-0.000207001,-0.00020637,-0.00020597,-0.000205698,-0.000205462,-0.000205438
F9,0.000323375,0.00029644,0.000297384,0.000298246,0.000299064,0.000299709,0.000300429,0.000819304,0.000826043,0.00083261,0.000839064,0.000845481,0.000851724
F10,-0.001050264,-0.001045475,-0.001035502,-0.001025457,-0.00101532,-0.00100516,-0.000994853,-0.001319685,-0.001313012,-0.001306352,-0.001299641,-0.001292857,-0.001286066
F11,0.000254867,0.000310072,0.000314131,0.000318302,0.000322008,0.000327411,0.000330145,0.000427901,0.000433251,0.000440392,0.000447824,0.000453749,0.000461483
F12,-0.000842119,-0.000925819,-0.000923057,-0.000920337,-0.00091759,-0.000915061,-0.000912266,-0.000935953,-0.000932415,-0.000929123,-0.000925905,-0.000922588,-0.000919501
F13,-0.000259818,-0.000194587,-0.000199097,-0.000203979,-0.000208568,-0.000214865,-0.000218935,-0.000219982,-0.000223506,-0.000228643,-0.000233997,-0.000238516,-0.000244479
F14,0.000398142,-0.000138716,-0.000140009,-0.000141379,-0.00014278,-0.000144363,-0.000145839,-0.000392653,-0.000393883,-0.000395275,-0.000396866,-0.000398627,-0.000400614
F15,0.000625837,0.000721491,0.000724636,0.00072805,0.0007312,0.000734976,0.000737767,0.00087101,0.000874295,0.000878283,0.000882002,0.000885626,0.000889608
F16,0.004015559,0.004205571,0.004211441,0.004217313,0.004223328,0.00422892,0.004235242,0.005165389,0.005174491,0.005183246,0.005191896,0.005200859,0.005209431
F17,0.005159082,0.005451585,0.005460964,0.005470445,0.005479846,0.005489928,0.00549915,0.006685706,0.006697466,0.006709839,0.00672237,0.006734482,0.006747198
F18,0.005769087,0.00612913,0.006138988,0.006148995,0.00615876,0.006169782,0.006179042,0.007554142,0.007565225,0.007577454,0.007589966,0.007601656,0.0076145
F19,0.001328078,0.001420047,0.001424533,0.001428936,0.001433551,0.001437436,0.001442454,0.001683957,0.001691059,0.001697502,0.001703832,0.00171058,0.001716693
