year,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F15,F16,F17,F18
2022,1.065326602,1.065516343,1.040345467,1.054613385,1.051788216,1.076028385,1.05457379,0.994128912,0.994756411,1.010775236,0.998785182,1.010775236,1.00221678,1.007688702,1.000024132,1.000906123
2023,1.128813756,1.127636344,1.069808664,1.097544215,1.095234566,1.140475664,1.095571286,0.985394907,0.98657409,1.011888841,0.995071663,1.011888841,1.002316179,1.013210357,0.998615932,1.000921869
2024,1.073032704,1.073145761,1.044463503,1.060397141,1.057448626,1.084400712,1.060229759,0.993232996,0.993930543,1.011356291,0.998471489,1.011356291,1.002335788,1.008463737,0.999930747,1.000954729
2025,1.100491639,1.100138424,1.057948229,1.079756772,1.076773199,1.113048959,1.078900368,0.989677192,0.990617444,1.012194311,0.997050296,1.012194311,1.002506758,1.01099258,0.995729065,1.001022959
2026,0.984066946,0.983817123,0.988780978,0.98529602,0.986417449,0.980263173,0.985048921,1.000976957,1.000814818,0.995839536,0.999240918,0.995839536,0.999139021,0.997826195,0.999778279,0.999647687
2027,1.167474942,1.164533607,1.082361955,1.117884438,1.117783196,1.173945769,1.1136639,0.978480303,0.979966536,1.010572374,0.991480063,1.010572374,1.001494607,1.015566831,0.98172992,0.998726782
2028,1.10412504,1.103686379,1.059589055,1.082166444,1.079227639,1.11669326,1.081190504,0.989163335,0.990134891,1.012185096,0.99682607,1.012185096,1.002501009,1.011299568,0.995221975,1.001009911
2029,1.108796046,1.108238998,1.061647742,1.085210142,1.082346529,1.121325407,1.084070464,0.988487561,0.98949908,1.01216043,0.996525155,1.01216043,1.002485621,1.011684597,0.99452878,1.000974984
2030,0.927677334,0.926006709,0.945159053,0.929486919,0.935702118,0.907450389,0.927684976,1.003041005,1.002276419,0.97652088,0.986065286,0.97652088,0.995103535,0.989202906,0.998329196,0.9979935
2031,1.054419732,1.054679776,1.03427596,1.046176598,1.043606686,1.063945692,1.046270909,0.995322128,0.995849045,1.009698257,0.999166654,1.009698257,1.001996056,1.006543533,0.999775521,1.000143995
2032,0.958370804,0.957571721,0.969636785,0.960560684,0.963799295,0.947611614,0.959729128,1.002185594,1.001754466,0.987912344,0.995243054,0.987912344,0.997490651,0.994076411,0.994680548,0.992395216
2033,1.026612504,1.026860637,1.017568425,1.023397913,1.021883979,1.031987769,1.023596151,0.997974574,0.998237452,1.005628907,0.999813417,1.005628907,1.001160371,1.003371292,1.000139956,0.998705416
2034,0.984636468,0.984396813,0.989190761,0.985830199,0.986908922,0.980975692,0.985593506,1.00094505,1.000788768,0.995998299,0.999290881,0.995998299,0.999171928,0.997905895,0.997832152,0.995284812
2035,1.036779105,1.037062292,1.023877852,1.031931382,1.029966155,1.043855774,1.032130004,0.997069068,0.997429745,1.007334605,0.999630702,1.007334605,1.001510979,1.0045729,1.000184263,0.999308894
2036,1.052659625,1.052926924,1.033270434,1.044788129,1.042268061,1.061971018,1.044898997,0.995506536,0.996017063,1.009496747,0.999221405,1.009496747,1.001954736,1.006353465,0.999844199,1.000072852
2037,0.931894981,0.930357071,0.948622453,0.933849764,0.939629438,0.913036236,0.932197399,1.002961253,1.002243274,0.978208166,0.987606034,0.978208166,0.995458494,0.989898078,0.990198772,0.988905762
2038,1.071487694,1.071617957,1.043649323,1.059249504,1.056321861,1.082733324,1.059109982,0.993416154,0.994099725,1.011251822,0.998537334,1.011251822,1.002314395,1.008310622,0.99995114,1.000945992
2039,1.067205489,1.067378629,1.041362648,1.056037266,1.053177608,1.078082506,1.055969079,0.993914528,0.994559185,1.010930715,0.998712087,1.010930715,1.00224863,1.00788028,1.00000328,1.000919132
2040,1.086620189,1.086541242,1.051372168,1.070226007,1.067179301,1.098815046,1.069764227,0.991545146,0.992364141,1.012012703,0.997828059,1.012012703,1.002470166,1.00976087,0.997408998,1.000960408
2041,0.981966972,0.981678883,0.987264462,0.983320968,0.984601498,0.97763157,0.983034514,1.001092678,1.000908904,0.99524774,0.999042125,0.99524774,0.999016323,0.997531042,0.999742852,0.999597461
2042,1.016189226,1.016366428,1.01086609,1.01441265,1.013435837,1.019612837,1.014566452,0.998826986,0.998988087,1.003623338,0.999937171,1.003623338,1.000747522,1.002089688,1.000139603,1.000305713
2043,1.004557151,1.00461505,1.003113926,1.004112006,1.00382,1.005567422,1.004165463,0.999688272,0.999733993,1.001081973,0.999999924,1.001081973,1.000223443,1.000600394,0.999350355,0.997093257
2044,1.128215963,1.127059818,1.069580812,1.097192969,1.094861191,1.139920798,1.09524808,0.985491952,0.986666213,1.011900902,0.995118976,1.011900902,1.002323704,1.013167748,0.991142289,1.000607516
2045,1.010761128,1.010887821,1.0072839,1.009641161,1.008972932,1.013088657,1.009754677,0.999240667,0.999348162,1.002476975,0.999976308,1.002476975,1.00051125,1.001402446,0.999667754,0.997588403
2046,1.039606686,1.039893453,1.025591948,1.034263311,1.032185689,1.047119747,1.034454303,0.996804127,0.997191745,1.007764628,0.999568925,1.007764628,1.001599297,1.00489856,1.000160376,0.999460926
2047,1.070336787,1.070479267,1.043039078,1.058390691,1.055479861,1.08148758,1.058271189,0.993551437,0.994224575,1.011170071,0.998585419,1.011170071,1.002297654,1.008195821,0.998870489,1.000663322
2048,1.157451323,1.15504382,1.079530947,1.113074264,1.112248874,1.165743415,1.109520615,0.980396437,0.981805214,1.011017227,0.992513985,1.011017227,1.001772272,1.015032747,0.984468389,0.999356474
2049,1.003929772,1.003980067,1.002687778,1.003548432,1.003295847,1.004803081,1.003594996,0.999732044,0.999771487,1.00093589,1.000001062,1.00093589,1.000193286,1.000518303,0.999314129,0.997041378
2050,1.096881226,1.096607245,1.056283923,1.0773263,1.074309981,1.109392657,1.076581964,0.990177636,0.991086594,1.012192454,0.997264627,1.012192454,1.002506952,1.010681077,0.99620525,1.001023761
2051,0.957582362,0.956763723,0.969029512,0.959782677,0.963091907,0.946594942,0.958929761,1.002215561,1.001776033,0.987645688,0.995066817,0.987645688,0.997435021,0.993956598,0.994565917,0.992299648
2052,1.055055844,1.055312991,1.034637596,1.046676573,1.044089231,1.064657679,1.046764558,0.995254927,0.995787757,1.009769198,0.999146403,1.009769198,1.002010601,1.006611866,0.99974917,1.000169038
2053,1.19914886,1.194131356,1.089226253,1.130783055,1.133720899,1.197453749,1.124044887,0.971823418,0.973544254,1.008663317,0.987712109,1.008663317,1.000302512,1.016882842,0.971496386,0.996025236
2054,1.041812109,1.042099767,1.026916448,1.036069429,1.033908179,1.049654156,1.036252092,0.996593504,0.997002058,1.008086546,0.999517415,1.008086546,1.001665392,1.005149976,1.000130756,0.999574708
2055,1.02370406,1.023935905,1.015721805,1.020914472,1.019542957,1.028555423,1.021104731,0.998220131,0.998454763,1.005095306,0.9998544,1.005095306,1.001050592,1.003018727,1.000089977,0.998516483
2056,0.926941416,0.925247229,0.944551557,0.928722741,0.935014751,0.906473691,0.926894194,1.003053689,1.002280945,0.976222531,0.985787414,0.976222531,0.995040721,0.989080774,0.98921616,0.98818883
2057,0.944805981,0.943649155,0.959028817,0.947024036,0.951521767,0.930006274,0.94579809,1.00264233,1.002065467,0.983132757,0.991771197,0.983132757,0.996491735,0.991975598,0.992546854,0.990679522
2058,0.929304444,0.927685489,0.946498872,0.931173437,0.937219665,0.909607713,0.929429784,1.003011662,1.002265086,0.977176374,0.986670139,0.977176374,0.995241491,0.989472058,0.989690541,0.988533349
2059,0.882423194,0.87909464,0.906108203,0.880970037,0.892321385,0.846380805,0.877276491,1.000711648,0.998523579,0.956028023,0.964076322,0.956028023,0.99075326,0.981229074,0.978368426,0.980839759
2060,0.947844955,0.946772155,0.961434687,0.950084334,0.954291957,0.933971077,0.948951636,1.002550854,1.002006865,0.984238851,0.992629945,0.984238851,0.996723245,0.992453541,0.993054636,0.991077078
2061,0.912360074,0.910174875,0.932322614,0.913406261,0.921268634,0.887001524,0.911020733,1.003229546,1.002199606,0.970070999,0.97973205,0.970070999,0.993742177,0.986609685,0.986061906,0.985961369
2062,0.863270651,0.859123704,0.888594204,0.859573971,0.873320533,0.820011536,0.854941249,0.993187097,0.993433822,0.946065369,0.951846911,0.946065369,0.98861171,0.977567792,0.972593376,0.977174808
2063,0.898109023,0.8954013,0.92002516,0.898125632,0.907607024,0.867764531,0.895143555,1.003174265,1.001102497,0.963621044,0.972813772,0.963621044,0.992373636,0.984100058,0.982603054,0.983615387
2064,0.982906176,0.982635351,0.987943792,0.984205349,0.985414404,0.978809388,0.983936687,1.001041297,1.000867206,0.995513661,0.999133866,0.995513661,0.999071464,0.997663297,0.997664589,0.995112078
2065,1.047698513,1.047980278,1.030397777,1.0408349,1.038468002,1.056368967,1.040985017,0.996014212,0.996478308,1.008887627,0.999365607,1.008887627,1.001829797,1.005809893,1.000004384,0.999857743
2066,0.927874154,0.92620981,0.945321366,0.92969115,0.935885847,0.907711502,0.927896297,1.003037551,1.002275145,0.976600475,0.986139148,0.976600475,0.995120291,0.989235528,0.989404637,0.988325367
2067,0.921650192,0.9197831,0.940156053,0.923203034,0.930054353,0.899433759,0.92117888,1.003134109,1.002302484,0.974043031,0.983710776,0.974043031,0.994581385,0.98819535,0.988116678,0.987400744
2068,0.931870144,0.930331464,0.948602149,0.933824156,0.939606371,0.9130034,0.932170925,1.002961758,1.002243505,0.978198342,0.987597219,0.978198342,0.995456429,0.989894008,0.990193958,0.988902218
