Scenario,indicators,percen,value
S1-F0,FCI,-0.055723542,-5.572354212
S1-F0.2,FCI,-0.060907127,-6.090712743
S1-F0.4,FCI,-0.066090713,-6.609071274
S1-F0.6,FCI,-0.071058315,-7.105831533
S1-F0.8,FCI,-0.076241901,-7.624190065
S1-Fsq,FCI,-0.081425486,-8.142548596
S2-F0,FCI,-0.073866091,-7.3866091
S2-F0.2,FCI,-0.079697624,-7.9697624
S2-F0.4,FCI,-0.08574514,-8.574514
S2-F0.6,FCI,-0.091576674,-9.1576674
S2-F0.8,FCI,-0.097408207,-9.7408207
S2-Fsq,FCI,-0.103239741,-10.3239741
S1-F0,MPL,-0.015787447,-1.578744705
S1-F0.2,MPL,-0.016557566,-1.655756642
S1-F0.4,MPL,-0.017327686,-1.732768579
S1-F0.6,MPL,-0.017712745,-1.771274548
S1-F0.8,MPL,-0.018482865,-1.848286484
S1-Fsq,MPL,-0.019252984,-1.925298421
S2-F0,MPL,-0.030419715,-3.0419715
S2-F0.2,MPL,-0.031189834,-3.1189834
S2-F0.4,MPL,-0.031959954,-3.1959954
S2-F0.6,MPL,-0.032730073,-3.2730073
S2-F0.8,MPL,-0.033500193,-3.3500193
S2-Fsq,MPL,-0.034270312,-3.4270312
S1-F0,MTL,-0.04188755,-4.188754956
S1-F0.2,MTL,-0.042646494,-4.264649402
S1-F0.4,MTL,-0.043402151,-4.340215126
S1-F0.6,MTL,-0.04415451,-4.415450955
S1-F0.8,MTL,-0.044903521,-4.490352059
S1-Fsq,MTL,-0.045649302,-4.564930181
S2-F0,MTL,-0.068738478,-6.8738478
S2-F0.2,MTL,-0.069457546,-6.9457546
S2-F0.4,MTL,-0.070172289,-7.0172289
S2-F0.6,MTL,-0.070880391,-7.0880391
S2-F0.8,MTL,-0.071581079,-7.1581079
S2-Fsq,MTL,-0.072276188,-7.2276188
S1-F0,TPP/TR,0.01138756,1.138755973
S1-F0.2,TPP/TR,0.0138932,1.389320008
S1-F0.4,TPP/TR,0.016417701,1.64177005
S1-F0.6,TPP/TR,0.018961847,1.896184684
S1-F0.8,TPP/TR,0.021526032,2.152603202
S1-Fsq,TPP/TR,0.024110649,2.411064895
S2-F0,TPP/TR,0.105004287,10.5004287
S2-F0.2,TPP/TR,0.108133489,10.8133489
S2-F0.4,TPP/TR,0.111289016,11.1289016
S2-F0.6,TPP/TR,0.114454759,11.4454759
S2-F0.8,TPP/TR,0.117623253,11.7623253
S2-Fsq,TPP/TR,0.120810999,12.0810999
S1-F0,TST,-0.045177174,-4.517717414
S1-F0.2,TST,-0.045857396,-4.585739577
S1-F0.4,TST,-0.046539704,-4.653970433
S1-F0.6,TST,-0.047224332,-4.722433169
S1-F0.8,TST,-0.047911278,-4.791127786
S1-Fsq,TST,-0.048600891,-4.860089065
S2-F0,TST,-0.207334962,-20.7334962
S2-F0.2,TST,-0.207955011,-20.7955011
S2-F0.4,TST,-0.208577958,-20.8577958
S2-F0.6,TST,-0.2092016,-20.92016
S2-F0.8,TST,-0.209825591,-20.9825591
S2-Fsq,TST,-0.210451089,-21.0451089
S1-F0,SOI,-0.001922165,-0.192216475
S1-F0.2,SOI,-0.00569015,-0.569014975
S1-F0.4,SOI,-0.009426061,-0.942606103
S1-F0.6,SOI,-0.013129899,-1.312989858
S1-F0.8,SOI,-0.016800759,-1.680075893
S1-Fsq,SOI,-0.020437287,-2.043728683
S2-F0,SOI,-0.009676326,-0.967632643
S2-F0.2,SOI,-0.013546405,-1.354640526
S2-F0.4,SOI,-0.017377182,-1.737718248
S2-F0.6,SOI,-0.021172724,-2.117272378
S2-F0.8,SOI,-0.024928963,-2.492896348
S2-Fsq,SOI,-0.028638674,-2.863867368
